Joukovsky f=9% t=12%
0.99997221 0.00002166
0.99340335 0.00260888
0.98269519 0.00692560
0.96798954 0.01290400
0.94939009 0.02044253
0.92701647 0.02938414
0.90100584 0.03951996
0.87151543 0.05059480
0.83872599 0.06231408
0.80284560 0.07435232
0.76411355 0.08636273
0.72280379 0.09798761
0.67922756 0.10886974
0.63373500 0.11866510
0.58671455 0.12705299
0.53859154 0.13374998
0.48982375 0.13851818
0.44089596 0.14117644
0.39231227 0.14160743
0.34458709 0.13976207
0.29823537 0.13566345
0.25376209 0.12940683
0.21165231 0.12115630
0.17236196 0.11113955
0.13631029 0.09964056
0.10387452 0.08699055
0.07538794 0.07355738
0.05114233 0.05973661
0.03139530 0.04594846
0.01638131 0.03265241
0.00630612 0.02041399
0.00117506 0.01010882
-0.00000074 0.00311287
0.00137107 -0.00354627
0.00873435 -0.01165206
0.02288645 -0.01717988
0.04200313 -0.01964318
0.06516240 -0.01958241
0.09191586 -0.01743997
0.12195752 -0.01357548
0.15502484 -0.00832059
0.19086407 -0.00200224
0.22921476 0.00505068
0.26980140 0.01250855
0.31232822 0.02004673
0.35647618 0.02735267
0.40190156 0.03413534
0.44823646 0.04013335
0.49509087 0.04512301
0.54205624 0.04892651
0.58871064 0.05141784
0.63462522 0.05252673
0.67937140 0.05224121
0.72252874 0.05060775
0.76369281 0.04772929
0.80248270 0.04376095
0.83854784 0.03890383
0.87157358 0.03339691
0.90128539 0.02750765
0.92745149 0.02152151
0.94988376 0.01573096
0.96843720 0.01042471
0.98300809 0.00587731
0.99353063 0.00233842
0.99997221 0.00002166
